session_name,user_email,indicatedAttendance,actualAttendance
"Session 1",emily@bims.com,"Attended","Attended"
"Session 1",phillip@bims.com,"Attended","Absent"
"Session 1",layla@bims.com,"Attended","Attended"
"Session 1",julia@bims.com,"Attended","Attended"
"Session 1",samuel@bims.com,"Attended","Absent"
"Session 1",duncan@bims.com,"Attended","Attended"
"Session 1",jessica@bims.com,"Attended","Attended"
"Session 2",emily@bims.com,"Attended","Attended"
"Session 2",layla@bims.com,"Attended","Attended"
"Session 2",samuel@bims.com,"Attended","Attended"
"Session 3",emily@bims.com,"Attended","Attended"
"Session 3",phillip@bims.com,"Attended","Attended"
"Session 3",julia@bims.com,"Attended","Attended"
"Session 3",samuel@bims.com,"Attended","Attended"
"Session 3",duncan@bims.com,"Attended","Absent"
"Session 3",jessica@bims.com,"Attended","Attended"
"Session 5",emily@bims.com,"Attended","Attended"
"Session 5",phillip@bims.com,"Attended","Attended"
"Session 5",julia@bims.com,"Attended","Attended"
"Session 5",duncan@bims.com,"Attended","Attended"
"Session 5",jessica@bims.com,"Attended","Absent"
